subject_number,acc,prec,rec,f1
0,0.9414414414414415,0.825,1.0,0.9041095890410958
1,0.9316888045540797,0.9809264305177112,0.7809110629067245,0.8695652173913043
2,0.9660163624921334,0.891566265060241,1.0,0.9426751592356688
3,0.9570815450643777,0.8715596330275229,1.0,0.9313725490196079
4,0.8832612723903644,0.9657794676806084,0.5852534562211982,0.7288378766140603
5,0.9510835913312693,0.8725868725868726,0.9720430107526882,0.9196337741607324
6,0.9772167487684729,0.9827213822894169,0.9400826446280992,0.9609292502639917
7,0.8544891640866873,0.9674418604651163,0.47706422018348627,0.6390168970814132
8,0.9243597379392495,1.0,0.7495069033530573,0.8568207440811725
9,0.9957291031116534,0.9879759519038076,0.9979757085020243,0.9929506545820747
10,0.9474969474969475,0.8539741219963032,0.9850746268656716,0.9148514851485149
11,0.9353264185478951,0.8812260536398467,0.9126984126984127,0.8966861598440545
12,0.8837492391965917,0.8574660633484162,0.747534516765286,0.7987355110642781
13,0.9436964504283966,0.84,1.0,0.9130434782608696
14,0.9404052443384983,0.9097888675623801,0.8994307400379506,0.9045801526717557
subject_number,acc,prec,rec,f1
0,0.9736164736164736,0.9381443298969072,0.9763948497854077,0.9568874868559412
1,0.9721695129664769,0.9393305439330544,0.9676724137931034,0.9532908704883227
2,0.9848961611076148,0.9844444444444445,0.9630434782608696,0.9736263736263736
3,0.992467043314501,0.9977578475336323,0.9758771929824561,0.9866962305986696
4,0.9833230389129092,0.951417004048583,0.9936575052854123,0.9720785935884177
5,0.8848297213622291,0.7236641221374046,0.9895615866388309,0.8359788359788359
6,0.9359605911330049,0.9588100686498856,0.8297029702970297,0.8895966029723992
7,0.9337461300309597,0.9971264367816092,0.7660044150110376,0.8664169787765293
8,0.9411411411411411,1.0,0.8274647887323944,0.905587668593449
9,0.9664429530201343,0.8982035928143712,0.9911894273127754,0.9424083769633508
10,0.9938949938949939,0.981203007518797,1.0,0.9905123339658444
11,0.8791946308724832,0.8567774936061381,0.7023060796645703,0.771889400921659
12,0.9543517954960439,0.9385593220338984,0.9059304703476483,0.9219562955254943
13,0.9638922888616891,0.8893129770992366,0.9978586723768736,0.9404641775983855
14,0.9745145631067961,0.9876543209876543,0.9302325581395349,0.9580838323353293
