Subject,Accuracy,Recall,Precision,F1
2,0.7004,0.7209,0.1336,0.2255
3,0.7069,0.0,0.0,0.0
4,0.6955,0.0,0.0,0.0
5,0.659,0.0,0.0,0.0
6,0.6556,0.0,0.0,0.0
7,0.7003,0.0,0.0,0.0
8,0.5167,0.096,0.0594,0.0734
9,0.4906,0.0769,0.0625,0.069
10,0.6089,0.2097,0.0647,0.0989
11,0.6376,0.0,0.0,0.0
12,0.6687,0.0,0.0,0.0
13,0.6497,0.0,0.0,0.0
14,0.6695,0.0,0.0,0.0
15,0.4986,0.1795,0.1584,0.1683
16,0.6686,0.4372,0.4286,0.4328
17,0.6036,0.2632,0.1152,0.1603
18,0.672,0.0,0.0,0.0
19,0.7096,0.0,0.0,0.0
20,0.705,0.6286,0.1053,0.1803
21,0.6444,0.0,0.0,0.0
22,0.6367,0.5395,0.1798,0.2697
23,0.6526,0.0,0.0,0.0
24,0.6713,0.0,0.0,0.0
25,0.6771,1.0,0.0236,0.0461
26,0.6548,0.0,0.0,0.0
27,0.6469,0.0,0.0,0.0
28,0.5606,0.1983,0.1045,0.1369
29,0.6469,0.4778,0.9065,0.6258
30,0.6471,0.2097,0.0653,0.0996
31,0.6742,0.0,0.0,0.0
32,0.6609,0.0,0.0,0.0
33,0.6517,0.0,0.0,0.0
34,0.6938,0.0,0.0,0.0
35,0.6671,0.0,0.0,0.0
Average,0.6471,0.1482,0.0708,0.0761
Centralized,0.6479,0.3235,0.0696,0.1146
