Subject,Accuracy,Recall,Precision,F1
2,0.6034,0.4144,0.5216,0.4618
3,0.6737,0.4098,0.2577,0.3165
4,0.7762,0.6686,0.5256,0.5885
5,0.4174,0.318,0.6188,0.4201
6,0.6631,0.6087,0.0614,0.1116
7,0.6884,0.3,0.0297,0.0541
8,0.3636,0.3361,1.0,0.5031
9,0.294,0.2924,0.9427,0.4464
10,0.4653,0.3694,0.8657,0.5179
11,0.4404,0.3886,0.9494,0.5515
12,0.6042,0.2346,0.086,0.1258
13,0.6497,0.0,0.0,0.0
14,0.584,0.4136,0.6186,0.4958
15,0.4174,0.3538,0.991,0.5214
16,0.3401,0.3054,0.9704,0.4646
17,0.3555,0.3238,0.8848,0.4741
18,0.7013,0.5275,0.8571,0.6531
19,0.6248,0.2065,0.1027,0.1372
20,0.5693,0.4115,0.9234,0.5693
21,0.6646,0.6512,0.1223,0.2059
22,0.4321,0.3936,0.9649,0.5591
23,0.8474,0.875,0.6542,0.7487
24,0.6804,0.7143,0.0465,0.0873
25,0.7644,0.7103,0.4858,0.577
26,0.5263,0.3531,0.4931,0.4115
27,0.6261,0.3871,0.1008,0.16
28,0.3818,0.3185,0.75,0.4472
29,0.3942,0.3492,0.9953,0.517
30,0.3483,0.2985,0.8744,0.445
31,0.8167,0.726,0.7023,0.7139
32,0.6766,0.75,0.0691,0.1266
33,0.387,0.3513,0.8978,0.505
34,0.3497,0.3015,0.8532,0.4455
35,0.6102,0.4,0.393,0.3965
Average,0.5511,0.4254,0.5767,0.4047
Centralized,0.5514,0.378,0.5741,0.4559
