Subject,Accuracy,Recall,Precision,F1
2,0.5907,0.3825,0.4138,0.3975
3,0.6571,0.3893,0.299,0.3382
4,0.7252,0.5368,0.7116,0.612
5,0.367,0.3292,0.8251,0.4706
6,0.6707,0.6316,0.1053,0.1805
7,0.7018,0.5106,0.1188,0.1928
8,0.378,0.3385,0.9752,0.5026
9,0.2987,0.2952,0.9531,0.4507
10,0.4587,0.3658,0.8607,0.5134
11,0.3792,0.3599,0.9156,0.5167
12,0.6072,0.253,0.095,0.1382
13,0.6317,0.0,0.0,0.0
14,0.5056,0.3789,0.7754,0.509
15,0.487,0.3694,0.8507,0.5151
16,0.452,0.3287,0.8227,0.4698
17,0.466,0.3515,0.7419,0.477
18,0.735,0.5627,0.8616,0.6808
19,0.6028,0.1852,0.1081,0.1365
20,0.4646,0.3396,0.7799,0.4731
21,0.6304,0.4366,0.1354,0.2067
22,0.509,0.4082,0.7018,0.5161
23,0.8604,0.8902,0.6822,0.7725
24,0.6911,0.6182,0.1581,0.2519
25,0.7395,0.6552,0.4481,0.5322
26,0.4954,0.2974,0.3687,0.3292
27,0.7211,0.7083,0.3571,0.4749
28,0.3909,0.277,0.5136,0.3599
29,0.449,0.3669,0.9533,0.5299
30,0.3709,0.2876,0.7487,0.4156
31,0.7894,0.6863,0.6512,0.6683
32,0.6719,0.64,0.0737,0.1322
33,0.3839,0.3551,0.9422,0.5158
34,0.3792,0.3199,0.9128,0.4738
35,0.6458,0.4495,0.3886,0.4169
Average,0.5561,0.4207,0.5662,0.4168
Centralized,0.5564,0.3802,0.5645,0.4544
