Subject,Accuracy,Recall,Precision,F1
2,0.5837,0.374,0.4095,0.3909
3,0.642,0.3648,0.299,0.3286
4,0.7365,0.5488,0.7581,0.6367
5,0.3792,0.3369,0.8475,0.4821
6,0.6737,0.6304,0.1272,0.2117
7,0.7018,0.5102,0.1238,0.1992
8,0.386,0.3409,0.9703,0.5045
9,0.3003,0.2963,0.9583,0.4526
10,0.4868,0.3783,0.8507,0.5237
11,0.3746,0.3576,0.9114,0.5137
12,0.6087,0.2619,0.0995,0.1443
13,0.6302,0.0,0.0,0.0
14,0.4972,0.3777,0.8051,0.5142
15,0.4971,0.3693,0.8054,0.5064
16,0.4666,0.3299,0.7833,0.4642
17,0.4902,0.3585,0.7005,0.4743
18,0.7394,0.5701,0.8348,0.6775
19,0.5997,0.1875,0.1135,0.1414
20,0.4587,0.334,0.7608,0.4642
21,0.6289,0.4306,0.1354,0.206
22,0.5041,0.3955,0.6228,0.4838
23,0.8604,0.8855,0.6869,0.7737
24,0.6942,0.619,0.1814,0.2806
25,0.7363,0.6463,0.4481,0.5292
26,0.4907,0.2829,0.3364,0.3074
27,0.7329,0.7197,0.3992,0.5135
28,0.3924,0.272,0.4909,0.3501
29,0.4612,0.3718,0.9486,0.5342
30,0.3964,0.2974,0.7487,0.4257
31,0.7621,0.6368,0.6279,0.6323
32,0.6719,0.64,0.0737,0.1322
33,0.3839,0.3541,0.9333,0.5134
34,0.3961,0.3245,0.8991,0.4769
35,0.6558,0.4663,0.393,0.4265
Average,0.5594,0.4197,0.5613,0.4181
Centralized,0.5597,0.3821,0.5597,0.4542
