Subject,Accuracy,Recall,Precision,F1
2,0.7032,0.5351,0.6897,0.6026
3,0.6813,0.4716,0.7268,0.572
4,0.721,0.529,0.7628,0.6248
5,0.6422,0.4848,0.7892,0.6007
6,0.8021,0.683,0.7939,0.7343
7,0.7062,0.5093,0.5446,0.5263
8,0.7656,0.5926,0.8713,0.7054
9,0.7626,0.5709,0.8594,0.6861
10,0.6601,0.4919,0.7562,0.5961
11,0.6682,0.5286,0.7806,0.6303
12,0.6867,0.5254,0.5611,0.5427
13,0.7635,0.6979,0.5726,0.6291
14,0.6653,0.4956,0.7161,0.5858
15,0.6913,0.5127,0.733,0.6034
16,0.6933,0.4855,0.6601,0.5595
17,0.7186,0.5564,0.7051,0.622
18,0.7467,0.582,0.808,0.6766
19,0.7551,0.5729,0.6162,0.5938
20,0.6342,0.4404,0.689,0.5373
21,0.6537,0.5122,0.5502,0.5305
22,0.6939,0.5851,0.6184,0.6013
23,0.6883,0.5455,0.6168,0.5789
24,0.7737,0.6245,0.7814,0.6942
25,0.741,0.615,0.5802,0.5971
26,0.5836,0.4261,0.6912,0.5272
27,0.7047,0.5777,0.6092,0.593
28,0.6167,0.4463,0.6227,0.5199
29,0.7869,0.6285,0.8458,0.7211
30,0.5556,0.3586,0.6181,0.4539
31,0.6985,0.5339,0.586,0.5588
32,0.8328,0.8056,0.6682,0.7305
33,0.6548,0.5027,0.84,0.629
34,0.7303,0.5396,0.8119,0.6484
35,0.6216,0.4385,0.5764,0.4981
Average,0.7001,0.5413,0.6957,0.6033
Centralized,0.6998,0.5317,0.6951,0.6025
