Subject,Accuracy,Recall,Precision,F1
2,0.7032,0.6296,0.2198,0.3259
3,0.6526,0.4118,0.433,0.4221
4,0.7932,0.6906,0.5814,0.6313
5,0.5948,0.3833,0.3094,0.3424
6,0.8051,0.9304,0.4693,0.6239
7,0.6409,0.3925,0.3614,0.3763
8,0.4418,0.2483,0.3614,0.2944
9,0.6981,0.0,0.0,0.0
10,0.6073,0.1373,0.0348,0.0556
11,0.6376,0.0,0.0,0.0
12,0.5982,0.0,0.0,0.0
13,0.6587,0.5789,0.094,0.1618
14,0.5798,0.394,0.5042,0.4424
15,0.5116,0.268,0.3032,0.2845
16,0.6439,0.4211,0.5517,0.4776
17,0.6717,0.0,0.0,0.0
18,0.735,0.6903,0.3482,0.4629
19,0.6389,0.2222,0.0973,0.1353
20,0.7198,0.5674,0.3828,0.4571
21,0.663,1.0,0.0524,0.0996
22,0.6563,0.8,0.1053,0.186
23,0.7808,0.7026,0.6402,0.6699
24,0.6713,0.0,0.0,0.0
25,0.7956,0.7872,0.5236,0.6289
26,0.565,0.1,0.0369,0.0539
27,0.6469,0.0,0.0,0.0
28,0.5955,0.1867,0.0636,0.0949
29,0.6514,0.4051,0.1495,0.2184
30,0.6456,0.2239,0.0754,0.1128
31,0.7955,0.6515,0.8,0.7182
32,0.6719,0.5479,0.1843,0.2759
33,0.6022,0.3431,0.1556,0.2141
34,0.6938,0.0,0.0,0.0
35,0.6174,0.3684,0.2445,0.294
Average,0.6584,0.3848,0.2377,0.2665
Centralized,0.6073,0.3837,0.3298,0.3547
