Subject,Accuracy,Recall,Precision,F1
2,0.5963,0.3849,0.3966,0.3907
3,0.4653,0.3326,0.8196,0.4732
4,0.7295,0.5417,0.7256,0.6203
5,0.5657,0.4146,0.6637,0.5103
6,0.781,0.652,0.7807,0.7106
7,0.5831,0.3848,0.6535,0.4844
8,0.6699,0.4924,0.797,0.6087
9,0.5959,0.4095,0.7656,0.5336
10,0.6502,0.4641,0.3532,0.4011
11,0.6239,0.4862,0.6709,0.5638
12,0.7391,0.5765,0.8009,0.6705
13,0.7665,0.6161,0.8846,0.7263
14,0.6807,0.5183,0.4788,0.4978
15,0.5101,0.3643,0.7104,0.4816
16,0.5087,0.3567,0.8276,0.4985
17,0.587,0.4103,0.5899,0.4839
18,0.7482,0.5977,0.7098,0.649
19,0.5243,0.3305,0.6216,0.4315
20,0.6563,0.4639,0.7368,0.5693
21,0.6009,0.444,0.4847,0.4635
22,0.6187,0.4886,0.4693,0.4787
23,0.7971,0.6862,0.7664,0.7241
24,0.6743,0.5038,0.6186,0.5553
25,0.7223,0.5842,0.5566,0.57
26,0.5093,0.375,0.6912,0.4862
27,0.6766,0.5311,0.7185,0.6107
28,0.5818,0.4103,0.5818,0.4812
29,0.6925,0.5174,0.8318,0.638
30,0.5541,0.3592,0.6281,0.457
31,0.797,0.6753,0.7256,0.6996
32,0.5125,0.404,0.9217,0.5618
33,0.613,0.4606,0.6489,0.5387
34,0.6166,0.4143,0.6101,0.4935
35,0.6088,0.441,0.7511,0.5557
Average,0.634,0.4733,0.6762,0.5476
Centralized,0.4585,0.3577,0.8226,0.4986
