Subject,Accuracy,Recall,Precision,F1
2,0.3263,0.3263,1.0,0.492
3,0.2931,0.2931,1.0,0.4533
4,0.3045,0.3045,1.0,0.4669
5,0.341,0.341,1.0,0.5086
6,0.3444,0.3444,1.0,0.5124
7,0.2997,0.2997,1.0,0.4612
8,0.3222,0.3222,1.0,0.4873
9,0.3019,0.3019,1.0,0.4638
10,0.3317,0.3317,1.0,0.4981
11,0.3624,0.3624,1.0,0.532
12,0.3313,0.3313,1.0,0.4977
13,0.3503,0.3503,1.0,0.5188
14,0.3305,0.3305,1.0,0.4968
15,0.3203,0.3203,1.0,0.4852
16,0.2951,0.2951,1.0,0.4557
17,0.3283,0.3283,1.0,0.4943
18,0.328,0.328,1.0,0.4939
19,0.2904,0.2904,1.0,0.4501
20,0.3083,0.3083,1.0,0.4713
21,0.3556,0.3556,1.0,0.5246
22,0.3732,0.3732,1.0,0.5435
23,0.3474,0.3474,1.0,0.5157
24,0.3287,0.3287,1.0,0.4948
25,0.3307,0.3307,1.0,0.4971
26,0.3359,0.3359,1.0,0.5029
27,0.3531,0.3531,1.0,0.5219
28,0.3333,0.3333,1.0,0.5
29,0.3257,0.3257,1.0,0.4914
30,0.2988,0.2988,1.0,0.4601
31,0.3258,0.3258,1.0,0.4914
32,0.3391,0.3391,1.0,0.5064
33,0.3483,0.3483,1.0,0.5166
34,0.3062,0.3062,1.0,0.4688
35,0.3257,0.3257,1.0,0.4914
Average,0.3276,0.3276,1.0,0.4931
Centralized,0.3273,0.3273,1.0,0.4931
