Subject,Accuracy,Recall,Precision,F1
2,0.685,0.5385,0.2414,0.3333
3,0.6813,0.0,0.0,0.0
4,0.813,0.761,0.5628,0.6471
5,0.659,0.0,0.0,0.0
6,0.7961,0.7541,0.6053,0.6715
7,0.6706,0.4219,0.2673,0.3273
8,0.756,0.6119,0.6634,0.6366
9,0.7689,0.6056,0.6719,0.637
10,0.6683,0.0,0.0,0.0
11,0.6621,0.5392,0.4641,0.4989
12,0.6717,0.5031,0.733,0.5967
13,0.8009,0.6603,0.8889,0.7577
14,0.7661,0.7634,0.4237,0.545
15,0.6623,0.4571,0.2896,0.3546
16,0.7994,0.7241,0.5172,0.6034
17,0.7368,0.5915,0.6406,0.615
18,0.7643,0.6465,0.6205,0.6333
19,0.7017,0.4854,0.4486,0.4663
20,0.7404,0.5902,0.5167,0.551
21,0.6599,0.5272,0.4236,0.4697
22,0.7381,0.7833,0.4123,0.5402
23,0.8377,0.8065,0.7009,0.75
24,0.6911,0.5461,0.3581,0.4326
25,0.7956,0.7718,0.5425,0.6371
26,0.6641,0.0,0.0,0.0
27,0.7641,0.7801,0.4622,0.5805
28,0.6712,0.514,0.25,0.3364
29,0.7976,0.664,0.7664,0.7115
30,0.6441,0.1724,0.0503,0.0778
31,0.7864,0.6729,0.6698,0.6713
32,0.7391,0.6302,0.5576,0.5917
33,0.6796,0.5388,0.5556,0.547
34,0.6685,0.375,0.1239,0.1862
35,0.7155,0.5602,0.5895,0.5745
Average,0.7252,0.5293,0.4417,0.47
