Subject,Accuracy,Recall,Precision,F1
2,0.6737,0.0,0.0,0.0
3,0.7069,0.0,0.0,0.0
4,0.3045,0.3045,1.0,0.4669
5,0.341,0.341,1.0,0.5086
6,0.6556,0.0,0.0,0.0
7,0.2997,0.2997,1.0,0.4612
8,0.3222,0.3222,1.0,0.4873
9,0.6981,0.0,0.0,0.0
10,0.6683,0.0,0.0,0.0
11,0.3624,0.3624,1.0,0.532
12,0.3313,0.3313,1.0,0.4977
13,0.6497,0.0,0.0,0.0
14,0.3305,0.3305,1.0,0.4968
15,0.3203,0.3203,1.0,0.4852
16,0.7049,0.0,0.0,0.0
17,0.6717,0.0,0.0,0.0
18,0.328,0.328,1.0,0.4939
19,0.2904,0.2904,1.0,0.4501
20,0.6917,0.0,0.0,0.0
21,0.6444,0.0,0.0,0.0
22,0.6268,0.0,0.0,0.0
23,0.6526,0.0,0.0,0.0
24,0.3287,0.3287,1.0,0.4948
25,0.6693,0.0,0.0,0.0
26,0.6641,0.0,0.0,0.0
27,0.3813,0.3634,1.0,0.533
28,0.6364,0.1875,0.0273,0.0476
29,0.6743,0.0,0.0,0.0
30,0.3559,0.3017,0.8794,0.4493
31,0.3258,0.3258,1.0,0.4914
32,0.6609,0.0,0.0,0.0
33,0.3483,0.3483,1.0,0.5166
34,0.6938,0.0,0.0,0.0
35,0.6743,0.0,0.0,0.0
Average,0.5202,0.1496,0.4384,0.218
