Subject,Accuracy,Recall,Precision,F1
2,0.6737,0.0,0.0,0.0
3,0.7069,0.0,0.0,0.0
4,0.7861,0.6616,0.6093,0.6344
5,0.7003,0.5521,0.6413,0.5934
6,0.8218,0.9104,0.5351,0.674
7,0.7003,0.0,0.0,0.0
8,0.6746,0.497,0.8119,0.6165
9,0.7579,0.5688,0.8177,0.6709
10,0.6683,0.0,0.0,0.0
11,0.7187,0.5971,0.6878,0.6392
12,0.7001,0.5313,0.8054,0.6403
13,0.8069,0.6688,0.8889,0.7633
14,0.6989,0.5467,0.5212,0.5336
15,0.6797,0.0,0.0,0.0
16,0.7456,0.5693,0.5665,0.5679
17,0.6732,0.5017,0.6728,0.5748
18,0.7599,0.6154,0.7143,0.6612
19,0.7347,0.5769,0.3243,0.4152
20,0.7847,0.7234,0.488,0.5829
21,0.6708,0.5279,0.7031,0.603
22,0.599,0.4641,0.4825,0.4731
23,0.8052,0.7026,0.7617,0.7309
24,0.7064,0.5431,0.6744,0.6017
25,0.8253,0.9237,0.5142,0.6606
26,0.6641,0.0,0.0,0.0
27,0.6306,0.4823,0.6303,0.5464
28,0.6818,0.551,0.2455,0.3396
29,0.7245,0.5505,0.8411,0.6654
30,0.7012,0.0,0.0,0.0
31,0.7985,0.703,0.6605,0.6811
32,0.7625,0.6471,0.659,0.653
33,0.6176,0.4658,0.6667,0.5484
34,0.6938,0.0,0.0,0.0
35,0.7084,0.5403,0.7031,0.611
Average,0.7171,0.4595,0.489,0.4612
