Subject,Accuracy,Recall,Precision,F1
2,0.6737,0.0,0.0,0.0
3,0.7069,0.0,0.0,0.0
4,0.7578,0.5991,0.6186,0.6087
5,0.6346,0.4739,0.6502,0.5482
6,0.8112,0.7137,0.7544,0.7335
7,0.7003,0.0,0.0,0.0
8,0.6794,0.5015,0.8119,0.62
9,0.75,0.5587,0.8177,0.6638
10,0.6683,0.0,0.0,0.0
11,0.7064,0.5812,0.6793,0.6265
12,0.7376,0.5747,0.8009,0.6692
13,0.8069,0.6756,0.8632,0.758
14,0.6751,0.5083,0.5169,0.5126
15,0.6797,0.0,0.0,0.0
16,0.7049,0.0,0.0,0.0
17,0.7065,0.5392,0.7281,0.6196
18,0.757,0.6066,0.7366,0.6653
19,0.7096,0.0,0.0,0.0
20,0.7168,0.5353,0.6172,0.5733
21,0.6693,0.5261,0.7031,0.6019
22,0.6056,0.4721,0.4825,0.4772
23,0.8117,0.713,0.7664,0.7387
24,0.685,0.5158,0.6837,0.588
25,0.7379,0.6068,0.5896,0.5981
26,0.6641,0.0,0.0,0.0
27,0.7196,0.5884,0.6849,0.633
28,0.6667,0.0,0.0,0.0
29,0.7139,0.5387,0.8458,0.6582
30,0.7012,0.0,0.0,0.0
31,0.8061,0.6968,0.7163,0.7064
32,0.7656,0.6502,0.6682,0.6591
33,0.6455,0.4933,0.6533,0.5621
34,0.6938,0.0,0.0,0.0
35,0.6743,0.0,0.0,0.0
Average,0.7101,0.3726,0.4526,0.4065
