Subject,Accuracy,Recall,Precision,F1
2,0.9325,0.8932,0.9009,0.897
3,0.8731,0.7619,0.8247,0.7921
4,0.9178,0.8369,0.907,0.8705
5,0.919,0.8512,0.9238,0.886
6,0.9698,0.9522,0.9605,0.9563
7,0.8813,0.7877,0.8267,0.8068
8,0.9426,0.9323,0.8861,0.9086
9,0.9403,0.8702,0.9427,0.905
10,0.9257,0.8939,0.8806,0.8872
11,0.922,0.8941,0.8903,0.8922
12,0.913,0.8622,0.8778,0.87
13,0.9147,0.8242,0.9615,0.8876
14,0.8866,0.8138,0.8517,0.8323
15,0.8942,0.8274,0.8462,0.8367
16,0.9302,0.8818,0.8818,0.8818
17,0.9289,0.8696,0.9217,0.8949
18,0.9151,0.8739,0.8661,0.87
19,0.9435,0.8782,0.9351,0.9058
20,0.9204,0.8605,0.8852,0.8726
21,0.8991,0.8445,0.8777,0.8608
22,0.8887,0.8361,0.8728,0.8541
23,0.9432,0.9163,0.9206,0.9184
24,0.9327,0.8701,0.9349,0.9013
25,0.9158,0.8835,0.8585,0.8708
26,0.8653,0.7851,0.8249,0.8045
27,0.9184,0.8927,0.8739,0.8832
28,0.8924,0.8282,0.8545,0.8412
29,0.9437,0.8865,0.9486,0.9165
30,0.9264,0.8606,0.8995,0.8796
31,0.9636,0.9401,0.9488,0.9444
32,0.9141,0.8649,0.8848,0.8747
33,0.9288,0.8809,0.92,0.9
34,0.9213,0.8432,0.9128,0.8767
35,0.9132,0.836,0.9127,0.8727
Average,0.9187,0.8628,0.8946,0.878
