Subject,Accuracy,Recall,Precision,F1
2,0.5787,0.3931,0.6345,0.4854
3,0.5621,0.2838,0.3987,0.3316
4,0.6058,0.4035,0.7667,0.5287
5,0.535,0.3979,0.8235,0.5366
6,0.7879,0.6378,0.8394,0.7248
7,0.5557,0.2624,0.3174,0.2873
8,0.4807,0.37,0.988,0.5383
9,0.3617,0.2944,0.9038,0.4441
10,0.6393,0.4647,0.9576,0.6257
11,0.5717,0.4461,0.8812,0.5923
12,0.6678,0.4726,0.371,0.4157
13,0.7265,0.6033,0.5606,0.5812
14,0.6149,0.4472,0.8856,0.5943
15,0.523,0.3587,0.7097,0.4765
16,0.5983,0.382,0.7365,0.5031
17,0.5554,0.39,0.7308,0.5086
18,0.782,0.6107,0.8466,0.7095
19,0.6775,0.4121,0.4533,0.4317
20,0.6202,0.4188,0.7701,0.5425
21,0.6417,0.4768,0.3711,0.4174
22,0.724,0.5914,0.7876,0.6756
23,0.7865,0.6816,0.6816,0.6816
24,0.6591,0.4691,0.6333,0.539
25,0.7066,0.5455,0.4407,0.4875
26,0.5887,0.3904,0.489,0.4341
27,0.7551,0.6462,0.6238,0.6348
28,0.5061,0.3428,0.5892,0.4334
29,0.5096,0.3834,0.9607,0.5481
30,0.4837,0.33,0.811,0.4691
31,0.6661,0.4735,0.6444,0.5459
32,0.7151,0.9231,0.1326,0.2319
33,0.5915,0.451,0.9684,0.6154
34,0.4667,0.3429,0.9126,0.4985
35,0.5958,0.3739,0.4456,0.4066
Average,0.6129,0.455,0.6784,0.514
Centralized,0.6186,0.4291,0.6647,0.5215
