Subject,Accuracy,Recall,Precision,F1
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,0.9981,1.0,0.9939,0.997
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
13,0.9983,1.0,0.9949,0.9975
14,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0
18,0.9983,1.0,0.9947,0.9973
19,1.0,1.0,1.0,1.0
20,0.9966,0.9886,1.0,0.9943
21,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0
23,0.9981,1.0,0.9944,0.9972
24,0.9983,0.9945,1.0,0.9972
25,1.0,1.0,1.0,1.0
26,0.9965,0.9945,0.9945,0.9945
27,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0
Average,0.9995,0.9993,0.9992,0.9993
Centralized,0.998,0.9976,0.9961,0.9968
