Subject,Accuracy,Recall,Precision,F1
2,0.9253,0.8827,0.8782,0.8804
3,0.9379,0.8588,0.9241,0.8902
4,0.9712,0.9402,0.9611,0.9505
5,0.8462,0.7124,0.8877,0.7905
6,0.9948,0.9948,0.9896,0.9922
7,0.8919,0.7877,0.8443,0.815
8,0.9927,0.9822,0.994,0.9881
9,0.9548,0.8743,0.9808,0.9245
10,0.9466,0.8743,0.9697,0.9195
11,0.8706,0.7667,0.9109,0.8326
12,0.9469,0.8744,0.9731,0.9211
13,0.9897,0.98,0.9899,0.9849
14,0.9017,0.8203,0.8856,0.8517
15,0.8438,0.697,0.8656,0.7722
16,0.9058,0.7644,0.9521,0.848
17,0.9533,0.9058,0.9505,0.9276
18,0.9867,0.9641,0.9947,0.9792
19,0.9423,0.8598,0.94,0.8981
20,0.9328,0.8418,0.9483,0.8919
21,0.8948,0.7974,0.933,0.8599
22,0.8771,0.7909,0.9016,0.8426
23,0.9888,0.9779,0.9888,0.9833
24,0.9755,0.9611,0.9611,0.9611
25,0.9732,0.9602,0.9548,0.9575
26,0.9486,0.8964,0.9505,0.9227
27,0.8834,0.7782,0.9208,0.8435
28,0.9185,0.8382,0.9243,0.8792
29,0.9704,0.9305,0.9775,0.9534
30,0.8782,0.7337,0.8902,0.8044
31,0.9948,1.0,0.9833,0.9916
32,0.9588,0.9202,0.9558,0.9377
33,0.968,0.9343,0.9737,0.9536
34,0.9317,0.8465,0.9344,0.8883
35,0.9195,0.8235,0.943,0.8792
Average,0.9358,0.8697,0.9422,0.9034
