Subject,Accuracy,Recall,Precision,F1
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0
32,0.9982,1.0,0.9945,0.9972
33,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0
Average,0.9999,1.0,0.9998,0.9999
Centralized,0.9999,1.0,0.9998,0.9999
