Subject,Accuracy,Recall,Precision,F1
2,0.3132,0.3132,1.0,0.477
3,0.2724,0.2724,1.0,0.4282
4,0.2885,0.2885,1.0,0.4478
5,0.3269,0.3269,1.0,0.4928
6,0.3328,0.3328,1.0,0.4994
7,0.2821,0.2821,1.0,0.4401
8,0.3064,0.3064,1.0,0.4691
9,0.2821,0.2821,1.0,0.4401
10,0.3149,0.3149,1.0,0.479
11,0.3531,0.3531,1.0,0.522
12,0.3185,0.3185,1.0,0.4831
13,0.3385,0.3385,1.0,0.5057
14,0.3185,0.3185,1.0,0.4832
15,0.3059,0.3059,1.0,0.4685
16,0.276,0.276,1.0,0.4326
17,0.3149,0.3149,1.0,0.4789
18,0.3145,0.3145,1.0,0.4785
19,0.2703,0.2703,1.0,0.4255
20,0.2924,0.2924,1.0,0.4525
21,0.3458,0.3458,1.0,0.5139
22,0.3648,0.3648,1.0,0.5346
23,0.3352,0.3352,1.0,0.5021
24,0.3147,0.3147,1.0,0.4787
25,0.3166,0.3166,1.0,0.481
26,0.3227,0.3227,1.0,0.4879
27,0.3412,0.3412,1.0,0.5088
28,0.3206,0.3206,1.0,0.4856
29,0.3096,0.3096,1.0,0.4728
30,0.2813,0.2813,1.0,0.4391
31,0.3114,0.3114,1.0,0.4749
32,0.3244,0.3244,1.0,0.4899
33,0.3375,0.3375,1.0,0.5046
34,0.2905,0.2905,1.0,0.4502
35,0.3108,0.3108,1.0,0.4742
Average,0.3132,0.3132,1.0,0.4765
Centralized,0.3129,0.3129,1.0,0.4766
